file,best_round,best_bcr,best_tp,best_tn,best_fp,best_fn,best_states,reference_states,best_state_gap,best_train_pos,best_train_neg,best_min_state_conf,best_avg_state_conf
automaton_10_2_5_0~0.txt,1,0.830000,153,179,21,47,16,10,6,56,55,0.000000,0.000000
automaton_10_2_5_0~1.txt,1,0.710000,128,156,44,72,20,10,10,52,55,0.000000,0.000000
automaton_10_2_5_0~2.txt,2,0.637500,112,143,57,88,23,10,13,52,58,0.000000,0.000000
automaton_10_2_5_0~3.txt,0,0.597500,103,136,64,97,24,10,14,50,50,0.000000,0.000000
automaton_10_2_5_0~4.txt,2,0.687500,142,133,67,58,21,10,11,54,58,0.000000,0.000000
automaton_10_2_5_1~0.txt,1,0.607500,87,156,44,113,27,10,17,53,55,0.000000,0.000000
automaton_10_2_5_1~1.txt,0,0.795000,159,159,41,41,16,10,6,50,50,0.000000,0.000000
automaton_10_2_5_1~2.txt,1,0.702500,127,154,46,73,22,10,12,50,55,0.000000,0.000000
automaton_10_2_5_1~3.txt,2,0.615000,108,138,62,92,20,10,10,55,56,0.000000,0.000000
automaton_10_2_5_1~4.txt,0,0.897500,192,167,33,8,13,10,3,50,50,0.000000,0.000000
automaton_10_2_5_2~0.txt,0,0.687500,139,136,64,61,17,10,7,50,50,0.000000,0.000000
automaton_10_2_5_2~1.txt,1,0.742500,145,152,48,55,19,10,9,51,54,0.000000,0.000000
automaton_10_2_5_2~2.txt,1,0.585000,106,128,72,94,21,10,11,51,52,0.000000,0.000000
automaton_10_2_5_2~3.txt,0,0.642500,123,134,66,77,21,10,11,50,50,0.000000,0.000000
automaton_10_2_5_2~4.txt,1,0.782500,151,162,38,49,17,10,7,52,51,0.000000,0.000000
automaton_10_2_5_3~0.txt,0,0.630000,122,130,70,78,22,10,12,50,50,0.000000,0.000000
automaton_10_2_5_3~1.txt,1,0.975000,200,190,10,0,10,10,0,54,53,0.000000,0.000000
automaton_10_2_5_3~2.txt,1,0.667500,120,147,53,80,21,10,11,53,56,0.000000,0.000000
automaton_10_2_5_3~3.txt,2,0.987500,200,195,5,0,9,10,1,53,57,0.750000,0.750000
automaton_10_2_5_3~4.txt,1,0.712500,150,135,65,50,18,10,8,52,54,0.000000,0.000000
automaton_10_2_5_4~0.txt,1,1.000000,200,200,0,0,10,10,0,54,55,0.992188,0.992188
automaton_10_2_5_4~1.txt,1,0.815000,176,150,50,24,15,10,5,52,53,0.000000,0.000000
automaton_10_2_5_4~2.txt,1,0.640000,98,158,42,102,23,10,13,52,53,0.000000,0.000000
automaton_10_2_5_4~3.txt,1,0.865000,177,169,31,23,15,10,5,53,54,0.000000,0.000000
automaton_10_2_5_4~4.txt,1,0.565000,76,150,50,124,29,10,19,50,56,0.000000,0.000000
automaton_10_2_5_5~0.txt,1,0.607500,125,118,82,75,25,10,15,52,55,0.000000,0.000000
automaton_10_2_5_5~1.txt,0,0.697500,126,153,47,74,22,10,12,50,50,0.000000,0.000000
automaton_10_2_5_5~2.txt,0,0.597500,103,136,64,97,22,10,12,50,50,0.000000,0.000000
automaton_10_2_5_5~3.txt,1,0.925000,184,186,14,16,15,10,5,52,58,0.000000,0.000000
automaton_10_2_5_5~4.txt,0,0.592500,103,134,66,97,25,10,15,50,50,0.000000,0.000000
automaton_10_2_5_6~0.txt,1,0.652500,134,127,73,66,22,10,12,53,54,0.000000,0.000000
automaton_10_2_5_6~1.txt,0,0.572500,92,137,63,108,19,10,9,50,50,0.000000,0.000000
automaton_10_2_5_6~2.txt,2,0.722500,134,155,45,66,18,10,8,53,57,0.000000,0.000000
automaton_10_2_5_6~3.txt,2,0.695000,129,149,51,71,21,10,11,55,57,0.000000,0.000000
automaton_10_2_5_6~4.txt,1,0.625000,108,142,58,92,25,10,15,54,57,0.000000,0.000000
automaton_10_2_5_7~0.txt,1,0.697500,140,139,61,60,19,10,9,54,54,0.000000,0.000000
automaton_10_2_5_7~1.txt,0,0.565000,102,124,76,98,25,10,15,50,50,0.000000,0.000000
automaton_10_2_5_7~2.txt,0,0.600000,93,147,53,107,23,10,13,50,50,0.000000,0.000000
automaton_10_2_5_7~3.txt,1,0.892500,186,171,29,14,16,10,6,54,53,0.000000,0.000000
automaton_10_2_5_7~4.txt,1,0.812500,166,159,41,34,17,10,7,52,54,0.000000,0.000000
automaton_10_2_5_8~0.txt,0,0.865000,175,171,29,25,15,10,5,50,50,0.000000,0.000000
automaton_10_2_5_8~1.txt,1,0.760000,144,160,40,56,17,10,7,53,56,0.000000,0.000000
automaton_10_2_5_8~2.txt,1,0.770000,143,165,35,57,16,10,6,53,55,0.000000,0.000000
automaton_10_2_5_8~3.txt,0,0.710000,126,158,42,74,20,10,10,50,50,0.000000,0.000000
automaton_10_2_5_8~4.txt,0,0.925000,178,192,8,22,12,10,2,50,50,0.000000,0.000000
automaton_10_2_5_9~0.txt,0,0.975000,192,198,2,8,9,10,1,50,50,0.500000,0.500000
automaton_10_2_5_9~1.txt,1,0.972500,189,200,0,11,10,10,0,53,56,0.000000,0.000000
automaton_10_2_5_9~2.txt,1,0.815000,177,149,51,23,16,10,6,51,54,0.500000,0.500000
automaton_10_2_5_9~3.txt,0,0.805000,163,159,41,37,16,10,6,50,50,0.000000,0.000000
automaton_10_2_5_9~4.txt,1,0.740000,167,129,71,33,18,10,8,51,52,0.000000,0.000000
automaton_5_2_2_0~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999756,0.999756
automaton_5_2_2_0~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999512,0.999512
automaton_5_2_2_0~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.996094,0.996094
automaton_5_2_2_0~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999878,0.999878
automaton_5_2_2_0~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.984375,0.984375
automaton_5_2_2_1~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.996094,0.996094
automaton_5_2_2_1~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.992188,0.992188
automaton_5_2_2_1~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.984375,0.984375
automaton_5_2_2_1~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.996094,0.996094
automaton_5_2_2_1~4.txt,0,0.835000,74,93,7,26,5,5,0,25,25,0.937500,0.937500
automaton_5_2_2_2~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999756,0.999756
automaton_5_2_2_2~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.998047,0.998047
automaton_5_2_2_2~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999512,0.999512
automaton_5_2_2_2~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999969,0.999969
automaton_5_2_2_2~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.998047,0.998047
automaton_5_2_2_3~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999992,0.999992
automaton_5_2_2_3~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999969,0.999969
automaton_5_2_2_3~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_3~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.998047,0.998047
automaton_5_2_2_3~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999756,0.999756
automaton_5_2_2_4~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999998,0.999998
automaton_5_2_2_4~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_4~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_4~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_4~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_5~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,1.000000,1.000000
automaton_5_2_2_5~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999985,0.999985
automaton_5_2_2_5~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999969,0.999969
automaton_5_2_2_5~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999969,0.999969
automaton_5_2_2_5~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999999,0.999999
automaton_5_2_2_6~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.999023,0.999023
automaton_5_2_2_6~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.984375,0.984375
automaton_5_2_2_6~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.996094,0.996094
automaton_5_2_2_6~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.992188,0.992188
automaton_5_2_2_6~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.984375,0.984375
automaton_5_2_2_7~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.500000,0.500000
automaton_5_2_2_7~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.500000,0.500000
automaton_5_2_2_7~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.500000,0.500000
automaton_5_2_2_7~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.500000,0.500000
automaton_5_2_2_7~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.500000,0.500000
automaton_5_2_2_8~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.984375,0.984375
automaton_5_2_2_8~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.968750,0.968750
automaton_5_2_2_8~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.937500,0.937500
automaton_5_2_2_8~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.992188,0.992188
automaton_5_2_2_8~4.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.984375,0.984375
automaton_5_2_2_9~0.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.996094,0.996094
automaton_5_2_2_9~1.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.992188,0.992188
automaton_5_2_2_9~2.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.984375,0.984375
automaton_5_2_2_9~3.txt,0,1.000000,100,100,0,0,5,5,0,25,25,0.996094,0.996094
automaton_5_2_2_9~4.txt,0,0.835000,74,93,7,26,5,5,0,25,25,0.937500,0.937500
